Issue key,Issue id,Parent id,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint
NCIS-400,642513,639095,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-401,642514,639095,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-402,642529,629535,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-403,642723,629535,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-404,643975,,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-405,643923,639084,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-406,644062,,NCIS Sprint 12,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,,
NCIS-407,644425,408324,NCIS Sprint 12,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,
NCIS-408,644427,646328,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,
NCIS-409,644534,639089,NCIS Sprint 11,NCIS Sprint 14,NCIS Sprint 15,,,,
NCIS-410,644937,643975,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-411,646187,629535,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-412,646208,629535,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-413,646324,,NCIS Sprint 12,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,
NCIS-414,646326,,,,,,,,
NCIS-415,646327,,NCIS Sprint 12,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,
NCIS-416,646328,,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,
NCIS-417,646329,,NCIS Sprint 12,,,,,,
NCIS-418,646339,,,,,,,,
NCIS-419,646361,,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,,,
NCIS-420,646658,639095,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-421,646898,,,,,,,,
NCIS-422,647878,629535,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-423,648358,408324,NCIS Sprint 12,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,
NCIS-424,648365,408324,NCIS Sprint 12,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,
NCIS-425,648582,334140,NCIS Sprint 14,NCIS Sprint 15,,,,,
NCIS-426,648588,334140,NCIS Sprint 14,NCIS Sprint 15,,,,,
NCIS-427,648434,646328,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,
NCIS-429,650738,408312,NCIS Sprint 14,NCIS Sprint 15,,,,,
NCIS-430,651138,644062,NCIS Sprint 12,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,,
